operator,format,index_dtype,value_dtype,op,route,status
alpha_spmm_alg1,N/A,N/A,float32,N/A,N/A,DISCOVERED_UNMAPPED
alpha_spmm_alg1,N/A,N/A,float64,N/A,N/A,DISCOVERED_UNMAPPED
alpha_spmm_alg1,N/A,N/A,complex64,N/A,N/A,DISCOVERED_UNMAPPED
alpha_spmm_alg1,N/A,N/A,complex128,N/A,N/A,DISCOVERED_UNMAPPED
gather,index,int32,float16,non,triton,SUPPORTED
gather,index,int32,bfloat16,non,triton,SUPPORTED
gather,index,int32,float32,non,triton,SUPPORTED
gather,index,int32,float64,non,triton,SUPPORTED
gather,index,int32,complex64,non,triton,SUPPORTED
gather,index,int32,complex128,non,triton,SUPPORTED
gather,index,int64,float16,non,triton,SUPPORTED
gather,index,int64,bfloat16,non,triton,SUPPORTED
gather,index,int64,float32,non,triton,SUPPORTED
gather,index,int64,float64,non,triton,SUPPORTED
gather,index,int64,complex64,non,triton,SUPPORTED
gather,index,int64,complex128,non,triton,SUPPORTED
scatter,index,int32,float16,non,triton,SUPPORTED
scatter,index,int32,bfloat16,non,triton,SUPPORTED
scatter,index,int32,float32,non,triton,SUPPORTED
scatter,index,int32,float64,non,triton,SUPPORTED
scatter,index,int32,complex64,non,triton,SUPPORTED
scatter,index,int32,complex128,non,triton,SUPPORTED
scatter,index,int64,float16,non,triton,SUPPORTED
scatter,index,int64,bfloat16,non,triton,SUPPORTED
scatter,index,int64,float32,non,triton,SUPPORTED
scatter,index,int64,float64,non,triton,SUPPORTED
scatter,index,int64,complex64,non,triton,SUPPORTED
scatter,index,int64,complex128,non,triton,SUPPORTED
sddmm,CSR,int32,float32,non,triton,SUPPORTED
sddmm,CSR,int32,float64,non,triton,SUPPORTED
sddmm,CSR,int64,float32,non,triton,SUPPORTED
sddmm,CSR,int64,float64,non,triton,SUPPORTED
spgemm,CSR,int32,float32,non,triton,SUPPORTED
spgemm,CSR,int32,float64,non,triton,SUPPORTED
spgemm,CSR,int64,float32,non,triton,SUPPORTED
spgemm,CSR,int64,float64,non,triton,SUPPORTED
spmm,BELL,int32,float32,non,triton_bell_base,SUPPORTED
spmm,BELL,int32,float64,non,triton_bell_base,SUPPORTED
spmm,BELL,int32,complex64,non,triton_bell_base,SUPPORTED
spmm,BELL,int32,complex128,non,triton_bell_base,SUPPORTED
spmm,BELL,int64,float32,non,triton_bell_base,SUPPORTED
spmm,BELL,int64,float64,non,triton_bell_base,SUPPORTED
spmm,BELL,int64,complex64,non,triton_bell_base,SUPPORTED
spmm,BELL,int64,complex128,non,triton_bell_base,SUPPORTED
spmm,BSR,int32,float32,non,triton_bsr_base,SUPPORTED
spmm,BSR,int32,float32,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int32,float32,conj,triton_bsr_base,SUPPORTED
spmm,BSR,int32,float64,non,triton_bsr_base,SUPPORTED
spmm,BSR,int32,float64,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int32,float64,conj,triton_bsr_base,SUPPORTED
spmm,BSR,int32,complex64,non,triton_bsr_base,SUPPORTED
spmm,BSR,int32,complex64,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int32,complex64,conj,triton_bsr_base,SUPPORTED
spmm,BSR,int32,complex128,non,triton_bsr_base,SUPPORTED
spmm,BSR,int32,complex128,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int32,complex128,conj,triton_bsr_base,SUPPORTED
spmm,BSR,int64,float32,non,triton_bsr_base,SUPPORTED
spmm,BSR,int64,float32,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int64,float32,conj,triton_bsr_base,SUPPORTED
spmm,BSR,int64,float64,non,triton_bsr_base,SUPPORTED
spmm,BSR,int64,float64,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int64,float64,conj,triton_bsr_base,SUPPORTED
spmm,BSR,int64,complex64,non,triton_bsr_base,SUPPORTED
spmm,BSR,int64,complex64,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int64,complex64,conj,triton_bsr_base,SUPPORTED
spmm,BSR,int64,complex128,non,triton_bsr_base,SUPPORTED
spmm,BSR,int64,complex128,trans,triton_bsr_base,SUPPORTED
spmm,BSR,int64,complex128,conj,triton_bsr_base,SUPPORTED
spmm,COO,int32,float16,non,triton,SUPPORTED
spmm,COO,int32,float16,trans,triton,SUPPORTED
spmm,COO,int32,float16,conj,triton,SUPPORTED
spmm,COO,int32,bfloat16,non,triton,SUPPORTED
spmm,COO,int32,bfloat16,trans,triton,SUPPORTED
spmm,COO,int32,bfloat16,conj,triton,SUPPORTED
spmm,COO,int32,float32,non,triton,SUPPORTED
spmm,COO,int32,float32,trans,triton,SUPPORTED
spmm,COO,int32,float32,conj,triton,SUPPORTED
spmm,COO,int32,float64,non,triton,SUPPORTED
spmm,COO,int32,float64,trans,triton,SUPPORTED
spmm,COO,int32,float64,conj,triton,SUPPORTED
spmm,COO,int32,complex64,non,triton,SUPPORTED
spmm,COO,int32,complex64,trans,triton,SUPPORTED
spmm,COO,int32,complex64,conj,triton,SUPPORTED
spmm,COO,int32,complex128,non,triton,SUPPORTED
spmm,COO,int32,complex128,trans,triton,SUPPORTED
spmm,COO,int32,complex128,conj,triton,SUPPORTED
spmm,COO,int64,float16,non,triton,SUPPORTED
spmm,COO,int64,float16,trans,triton,SUPPORTED
spmm,COO,int64,float16,conj,triton,SUPPORTED
spmm,COO,int64,bfloat16,non,triton,SUPPORTED
spmm,COO,int64,bfloat16,trans,triton,SUPPORTED
spmm,COO,int64,bfloat16,conj,triton,SUPPORTED
spmm,COO,int64,float32,non,triton,SUPPORTED
spmm,COO,int64,float32,trans,triton,SUPPORTED
spmm,COO,int64,float32,conj,triton,SUPPORTED
spmm,COO,int64,float64,non,triton,SUPPORTED
spmm,COO,int64,float64,trans,triton,SUPPORTED
spmm,COO,int64,float64,conj,triton,SUPPORTED
spmm,COO,int64,complex64,non,triton,SUPPORTED
spmm,COO,int64,complex64,trans,triton,SUPPORTED
spmm,COO,int64,complex64,conj,triton,SUPPORTED
spmm,COO,int64,complex128,non,triton,SUPPORTED
spmm,COO,int64,complex128,trans,triton,SUPPORTED
spmm,COO,int64,complex128,conj,triton,SUPPORTED
spmm,CSC,int32,float32,non,triton_csc_base,SUPPORTED
spmm,CSC,int32,float32,trans,triton_csc_base,SUPPORTED
spmm,CSC,int32,float32,conj,triton_csc_base,SUPPORTED
spmm,CSC,int32,float64,non,triton_csc_base,SUPPORTED
spmm,CSC,int32,float64,trans,triton_csc_base,SUPPORTED
spmm,CSC,int32,float64,conj,triton_csc_base,SUPPORTED
spmm,CSC,int32,complex64,non,triton_csc_base,SUPPORTED
spmm,CSC,int32,complex64,trans,triton_csc_base,SUPPORTED
spmm,CSC,int32,complex64,conj,triton_csc_base,SUPPORTED
spmm,CSC,int32,complex128,non,triton_csc_base,SUPPORTED
spmm,CSC,int32,complex128,trans,triton_csc_base,SUPPORTED
spmm,CSC,int32,complex128,conj,triton_csc_base,SUPPORTED
spmm,CSC,int64,float32,non,triton_csc_base,SUPPORTED
spmm,CSC,int64,float32,trans,triton_csc_base,SUPPORTED
spmm,CSC,int64,float32,conj,triton_csc_base,SUPPORTED
spmm,CSC,int64,float64,non,triton_csc_base,SUPPORTED
spmm,CSC,int64,float64,trans,triton_csc_base,SUPPORTED
spmm,CSC,int64,float64,conj,triton_csc_base,SUPPORTED
spmm,CSC,int64,complex64,non,triton_csc_base,SUPPORTED
spmm,CSC,int64,complex64,trans,triton_csc_base,SUPPORTED
spmm,CSC,int64,complex64,conj,triton_csc_base,SUPPORTED
spmm,CSC,int64,complex128,non,triton_csc_base,SUPPORTED
spmm,CSC,int64,complex128,trans,triton_csc_base,SUPPORTED
spmm,CSC,int64,complex128,conj,triton_csc_base,SUPPORTED
spmm,CSR,int32,float16,non,triton,SUPPORTED
spmm,CSR,int32,float16,trans,triton,SUPPORTED
spmm,CSR,int32,float16,conj,triton,SUPPORTED
spmm,CSR,int32,bfloat16,non,triton,SUPPORTED
spmm,CSR,int32,bfloat16,trans,triton,SUPPORTED
spmm,CSR,int32,bfloat16,conj,triton,SUPPORTED
spmm,CSR,int32,float32,non,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,float32,non,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,float32,non,csr_row_tile,UNVERIFIED
spmm,CSR,int32,float32,non,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,float32,non,triton,SUPPORTED
spmm,CSR,int32,float32,non,triton_opt,SUPPORTED
spmm,CSR,int32,float32,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,float32,trans,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,float32,trans,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,float32,trans,csr_row_tile,UNVERIFIED
spmm,CSR,int32,float32,trans,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,float32,trans,triton,SUPPORTED
spmm,CSR,int32,float32,conj,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,float32,conj,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,float32,conj,csr_row_tile,UNVERIFIED
spmm,CSR,int32,float32,conj,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,float32,conj,triton,SUPPORTED
spmm,CSR,int32,float64,non,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,float64,non,csr_row_kparallel,UNVERIFIED
